"siteID","siteName","siteInfo","jrBooks","latitude","longitude","state","address","agency","historyTimelineInfo","badgePictures","officialGovWebsite","websiteLinks","lastUpdated","specialPrograms",""
"jr_everglades_gulf_coast","(1 of 4)Everglades- Gulf Coast","1 of 4 places to become an Everglades junior ranger and get the Everglades badge. One book 3 different badges. Do the whole book (Everglades, Biscayne, and big cypress) to get a special patch. Note. **you can only get the badges at the corresponding visited center. (ex you can't get the Everglades badg at big cypress or Biscayne visited centers)**","","25.8455056","-81.3868","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz2kJd4U_mKHP64i923B7se00swNoQtLO5KtHs_FTKHt03nwqa1fVGwuB7DX2gHeWuC_puN1BKYdH8DfAFErQN3XP-sjEg0tYfLLJgiB7YCmnCW1cn0o7cKQHqGf-0zzAEt_5Keg6UoFkJzgtx-WB3J5gwH_AaRb7nZ6Ic62FinewZsMHWiDtjPa0dQj5EknA0a94CFVjiTAw?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxbjoufFGHJxmXaqdz8Z1Xm71mk94Pmz5YTQFKj9KvW6ohbkhhGDnWErn6wAxCz5aBhLVkayggXVF84-9AGWWMmJXgFqHJEoCfPm1NYzJmKgt9pywh-ix6qNYYhEw3sfuFOsn9UvXRIfv3QB7pPVV_bGHTeTXjdzeCmaInYHz1-eOiS8GdD4pJM8dIu7mvtarv90F2_7pxzBQ?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwfO0GcRqMieLpmZ-VOMvz6UXx51MacN8wsgiKUo3oXSuPzG4Fvlx4KBfhpV6fGa2Oi-DSQGMNCZocHkApOzhuJ_7AaSX3FX3V4hlERBrjWtbN5nelVTVee5NuSMxT-MrMoRIw9KfIucuL1zvgpUx8IHXiuh8x5Xgiq3Zkpy1JvZDtqSz5cqusO2REjHHkcUq_Ebxtkb7ag8A?fife=s16383","","","5/19/2026","",""
"jr_spring_canyon_day_use_area","(2 of 4)Spring Canyon Day Use Area (lake Roosevelt NRA)","One patch for all the places","","47.9349888","-118.9378472","Washington","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwoPd7pkPy4fC-QngVCdKtFiL4ATSM7spAjTjL9rto-Epx5sCgQhPfJzrKuNacac3T_vmgdoHP5FJ4_qufs0B0wcVg7xZ8QPmgxhYaR0YyhxHizCmeQidcrnFw3STrgDY58MKx9mMrNRRi1WUbacHLnXVxeUspqoz1r2E3bXH0wlNAsDHHgpVma4NZaDaeni5qMXcsraUGwoVuA8tWSszGruFFV7DYfh0L0xnQFI92SCvERqKgVl1IGyP6Flg?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxJR9Iec7uIo63nqCo6wDMBJ-mn88cYTBn_oIYa2D3xbOdckF6rlB6oNAOp_xjn0tYubBdGOCt9w_Z9H60DWKxzpHtXCRPhZMcx4n0YCzgWEzYMVJ-Dpdmr08HI5ze6h9Ju08L_lLSY4Fey4K1ln4FOVGDM2my8pR4wkjGPd7rBERqvsXUDNObcp9HVBvm3auhVS54OGamGI4e0ITnrUPHfffZxHZSFfN7iefUyZQFAjrbvUDd3XgqrhOAu6w?fife=s16383","","","5/19/2026","",""
"jr_everglades_shark_valley","(2 of 4)Everglades- Shark Valley","2 of 4 places to become an Everglades junior ranger and get the Everglades badge.  One book 3 different badges. Do the whole book (Everglades, Biscayne, and big cypress) to get a special patch. Note. **you can only get the badges at the corresponding visited center. (ex you can't get the Everglades badg at big cypress or Biscayne visited centers)**","","25.7569444","-80.7652778","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwSXy-l7CFYLdN-GsDPx0fxC_7H-9hhJm2_EHkWGZX-kmR5ZMEuy8fPwJgM-uYjZXgKU9PeyPh0usM4Po1rh0igHV6cJwP43dDlT6WlmYkUZLSlsAGtiTnFCm_NCY4dcRNR2Bwg26fKpClKKUKugFaejVI6EnS-Vxiq5eS7vI3qlDulm0dlCD_gXZK6QAgG5FiCv8UrOycvTA?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gy3o1PxxcjKbta2sQCoThwKu61cKBNIoiNm-gevOxS3sjmlz-4m96G9mLtP0yYA_kBZKEAzKSN59qt4w7lMcNblWRfeucmwENsJ0jix__8YNFBh3mj8--rOOQD8Eemm2mV3E9TOQKoPMtFGdjH6aqGbur2pe7fgQxJawL2PUjGlJdke4QaKypJttOKmy99bNv82PbY4ilhxYw?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwpRhIl_ZcH0uxChS110lROCY_bKtURLCvEIRiMmPuQuytzl_EAYU5LTvHKKhbc5hquVGNZIU-h673Q8e43U2RnGVg779QGX6xFyMrLj_vYvQPiAY11r0CIRY7Vj5Tmsilc803Wp5coXJQ8ND8OJqB1IfYeLeVgOtx28oAyY4d9nn7ppY0KU6MkSe7gJhf5O2PWQO5zpawuvg?fife=s16383","","","5/19/2026","",""
"jr_everglades_ernest_f_coe","(3 of 4)Everglades- Ernest F. Coe","3 of 4 places to become an Everglades junior ranger and get the Everglades badge. One book 3 different badges.  Do the whole book (Everglades, Biscayne, and big cypress) to get a special patch. Note. **you can only get the badges at the corresponding visited center. (ex you can't get the Everglades badg at big cypress or Biscayne visited centers)**","","25.3953191","-80.5830722","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gx0hm1C7sO5qy8CQ75205jh5ITMx2D6CVld3gg83fo4l2WxxKNF9Pzq4hG6KBAIWylKpp5NBe-8qlTT32X78d08rRrzT6TmXT8mdg2mqz_lbBDZvSitpMvwFOolpJ10jlVbhZnknDu96ipQlbR1xy-WG0wOMLBGd9kCOMbDGjvI36WDzfJHiQ88uOijomkYtrVXPUTiAyssQw?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxSCv9WBm0Rb_D04bf_T_VpLrKrGCyJTa14ypGZpKJJhCRlrdVE1K7wzd0e2YPD6-u9ylKllm6c5DKP5YBRk4zr4S-8Qje3r5xTO-0BALRi0yLPCWasFT2_W_7icZsq6wWkzqAaA6Ev_TE8Mpv6ojOZJhrd79RcufHNej04dOcHNuD8XFpeEc6RjL4PcZsHVVihTRbygw5BdQ?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gz98sehRhPkA4RAIQcw3V47-Ksu2gm0I0bh8-Z1GG6kdacJ0XIXKL4GZVl2eDa05ZHSkNCj69xCd39w5lkP_CRy0oYnVTM1j0MivlsCKM8pxxK7Ne9pAi6SSK8AiVW41s0poF2xnQFqYa8yuya9x5XSwD2AU3r76Qdk5haWkYrQ42vRXjLzudN_rTjdW3b58xVuFNhW8SG8CQ?fife=s16383","","","5/19/2026","",""
"jr_fort_spokane","(3 of 4)Fort Spokane","One patch for all the places","","47.9044213","-118.3125642","Washington","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gy5S0APEFK2ug8FF1ozvMSXu_15W4Wtw4jUeZd1daaONN0ljWym-oQXZcct7aF5OZSLnGXFeM1_FtvpbBm5jsQbrKQQMVZzQ-UZ1QqvWVLWdXxr03GdBiM4CA4Lq3701bLL2l0fA2F_L7oZQItderxpi-CjqTVXOExQ56pSFn3Rhz3tqJyqlmdWta_c7ry5B8xl-gSGkaBaPIODNx6lKPuIft5qXXKhImBUS3nqistpiWaJvKGwRYpHjYHu-A?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwF2mrN8tg_BtJwyZuw8luUlq9XQjQkDh8T2_Nj5U8pBesrxHiIh4dM9lTvM6Qkh9W86k8AhhtTq2oI732a_hyodNyCdBg_MtdHDyJdDg8HYA-DHl62CuPoGBu0lrgN3hxQkr8aonLr3UU0vvi0ecEIgvWqdb3SWjhHgScN4ntVgT3luq6NofIGu0b-CzUtrJeEIncaZpVPNliW2U9Xh0J4FqCUOoG2Z37FonUe6kl-6RmcsQhNSImOHS-BSA?fife=s16383","","","5/19/2026","",""
"jr_playlinda_national_seashore","(3 of 4)Playlinda National Seashore","One place to get the books","","28.6449624","-80.6834232","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwmHS8HN8Dodqjhnh6UfkFmWRyb1vl_3C_nM-_HPL1fJlkcni5H7GtbhrRHcuLCVQN3iUws8oOptU95HR_YiY679SQWabjD62bq3BX6bHmBW26swpOFMSNc6tS39Fd8klqimZeGY9f0Cu7e9oQq-tSfEjNulIpqOZZZ_Z8TYAxOdDNKPqGpD7xPZPfJsKpjuCkDlUpcjmpzqA?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwD2fL69BtWZ9gOtUSTKM0XJ5VsEJ3GZwZ6k49QB4pJCMN1qJHZ88ipz1yp3OX_3mhYqJmTjBfulznNyBssGU5pQZEeo9hn2wAYFDW5EtgpH_EQFUkzBQx8y7KyiF8icqklf1IJe3dL2-fBjg6ka7fBVPnn9kV699CGXTIFakW1ynCajUoDty3zxzZmj2n3MLSpBBb_tP_RSg?fife=s16383","","","5/19/2026","",""
"jr_kettle_falls","(4 of 4)Kettle falls (lake Roosevelt national park)","One patch for all the places. Can get it here if you find a ranger or are open","","48.593787","-118.1142913","Washington","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxFeQPAh10pn6NK3kDtRuxJ192uVBJQRl41gY8eG15U37CxTOXF0kiCvY8-IEHKmkOiMieTWmDJ1Cppo_xanV79n80HSSEN0f2hHlIXMpooFK3axZEhcNH1eQcGiWwakErUZfePxXmUnMU_yM292JgGUiA8J9aKTbaoscY74KEFMHoY9VcahyLURFBHqqdwDdm08xy4I1nnAG03NvXxwr20vmDRXX6qLcjRVgaDGNNh-wdVQ7TpLAClL4999g?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gzp9wwCx7oTgySSkAn3kkdfOxVS1il-AoRRvBraHJEDY-ND17btTbA7L0h20wRBGW473ymYr1jFnctulFti0hI5VpPeB27-IG4AbfgJnA2yc4Fs9Zda4Ad35klx_APC4aQAX7SSpQO6R3zvrIEuhLQDgsdQUhHYfRALwIK3gxHLva3xz7_ydEe4jl67O1pRNgw3m6vJw7jnFyY6Zyh04Vic6Drgk76GEHP-0hSFLuVCdJN4LoQlbFtWwLDErg?fife=s16383","","","5/19/2026","",""
"jr_depending_on_staff_and_supplies_canaveral_ns","(4 of 4) depending on staff and supplies Canaveral NS Headquarters","description:
Website:
Online books:
Historic of junior ranger program:
More Junior Ranger info:","","28.61314","-80.807816","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GzlVMUJ5yQqA8fFl_WqLi1xF59RoGYpZE-oOFdW9u3Q4dbUiIJHx92mQ5Bo-SiBTLbvF2kT4e7OnLPEhhBq2qqwfGsgZWvSpy9Ov-go76OihndC9Zh32eIPy4e1pdNhdafuTb3Wlj1ari0pAmSOHTkHiSyokkY9dBCaXXtFabyTALXjwNoxqiCWHyGm1_wtwDbi0e7R-8VGzQ?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GwMbJCPnqPgVDNMuMG1CcoR3sKXfG1cuJWHN4bdeymY-lgPf0q0iQAy2EuOHNvLTs5LJtE8zF9voB_qzerE5t1X2qoz8qzAj6Z1P9Pl7z4y1J8-14KBdZkwuMHd9vl1gAGjBJYXLqIeghhAWKgbgRFBJRQZJ6JgXJHZyjYEpnPXX-YaAuYLc6ZGBhd-sUSU6LapCFC_rSo61Q?fife=s16383","","","5/19/2026","",""
"jr_everglades_flamingo","(4 of 4)Everglades- Flamingo","4 of 4 places to become an Everglades junior ranger and get the Everglades badge  . One book 3 different badges.  Do the whole book (Everglades, Biscayne, and big cypress) to get a special patch at Biscayne . Note. **you can only get the badges at the corresponding visited center. (ex you can't get the Everglades badg at big cypress or Biscayne visited centers)**","","25.1412489","-80.9239243","Florida","","NPS","","https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gwm7UbE527OfSpELSrrkooJb1jNNtEZmm2O1xV8YUbr-_FEc4D5x6EOsF6mEqT09trhSeIgLthSKtsLc44zrKDCPlDmP9tdZgCTjnAVNb3j5FboU5wWqF62UUhnheHBUTrRi2kYJMtKPclJ4M2gtNvFIBJeM80LKqKmjRXiElNTOHzDKaiLnla4Pz6LGwW6reLpEh33tHj6Qg?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_GxVlgrIXewpjxC-1F4UKpW9tZqnh1k0FVpald2TfcfQE5Y-J_XnZBCm9NjCUL5-C3kvKdAKv8kpspGgZHspg51YbVn5Y5zStZAdlGGm2QRDXcUgpWz385epIb4n7B6Wgqx2vgb3kaYF8iOOWhP2jL_9RdOgGLU1lGWMJnTb5tEd3irkgNwJdLxMD_OkehUeFOqOTrMp-D8yNQ?fife=s16383
https://mymaps.usercontent.google.com/hostedimage/m/*/3AE5a_Gyhxn8HQfveGK0JcTfxNAGHY8rlT0YLN36FPMk9_ObX572cMvB4-5H6LXfW-CTi8pdnXxvld0w4BXukYVfzoe_gfS9jHp_8ezCKa5QCEFIN8xEnAAo1f7GXWIGOnHTaSBLGbQsZQLcuqTO2ivTXsNe2yNGlFP0l1B2WrBU0ofZMl2J8j8tKkQeYLox6hUiAV0mkgavKkcWFyA?fife=s16383","","","5/19/2026","",""
"jr_4th_of_july_fireworks_badge","4th of July fireworks badge","During the 4th of July get a special book and badge.","National Mall 4th of July: https://drive.google.com/file/d/1coFeNHbPMtcbyu6gTDmhqr5gDFZmroXF/view?usp=drivesdk","38.8855309","-77.0410392","Maryland","","NPS","","","","","5/19/2026","4th of July Fireworks Badge",""
