siteID,siteName,siteInfo,jrBooks,latitude,longitude,state,address,agency,historyTimelineInfo,badgePictures,officialGovWebsite,websiteLinks,lastUpdated,specialPrograms,
jr_alabama_birmingham_civil_rights_nm,Birmingham Civil Rights NM,Imported from Junior Ranger Master Spreadsheet Alabama row 2. Coordinate source: existing-catalog (Birmingham Civil Rights National Monument).,,33.5160727,-86.8145312,Alabama,,NPS,,,,,2026-05-24,Junior Ranger,
jr_alabama_freedom_riders_nm,Freedom Riders NM,Imported from Junior Ranger Master Spreadsheet Alabama row 3. Coordinate source: existing-catalog (Freedom Riders National Monument).,,33.6581126,-85.831166,Alabama,,NPS,,,,,2026-05-24,Junior Ranger,
jr_alabama_horseshoe_bend_nmp,Horseshoe Bend NMP,Imported from Junior Ranger Master Spreadsheet Alabama row 4. Coordinate source: existing-catalog (Horseshoe Bend National Military Park).,,32.9783223,-85.7310076,Alabama,,NPS,,,,,2026-05-24,Junior Ranger,
jr_alabama_little_river_canyon_npr,Little River Canyon NPr,Imported from Junior Ranger Master Spreadsheet Alabama row 5. Coordinate source: existing-catalog (Little River Canyon National Preserve).,,34.3883958,-85.62538,Alabama,,NPS,,,,,2026-05-24,Junior Ranger Adventure Guide (completing booklet). | Junior Ranger Patch (attending Ranger Program) | Junior Ranger Night Explorer | BARK Ranger Dog Tag,
jr_alabama_muscle_shoals_nha,Muscle Shoals NHA,Imported from Junior Ranger Master Spreadsheet Alabama row 9. Coordinate source: existing-catalog (Muscle Shoals NHA).,,34.7956601,-87.6813041,Alabama,,NPS,,,,,2026-05-24,Tennessee River Junior Ranger | American Indian Heritage Junior Ranger | Music Junior Ranger | BARK Ranger,
jr_alabama_russell_cave_nm,Russell Cave NM,"Imported from Junior Ranger Master Spreadsheet Alabama row 13. Coordinate source: nominatim (Russell Cave National Monument, Montague, Jackson County, Alabama, United States).",,34.9743321,-85.8156643,Alabama,,NPS,,,,,2026-05-24,"Junior Ranger (3rd Grade and younger) | Junior Ranger (4th Grade and older) | Junior Archeologist (site specific book and badge, Grades 4-8) | BARK Ranger Dog Tag",
jr_alabama_selma_to_montgomery_nht,Selma to Montgomery NHT,"Imported from Junior Ranger Master Spreadsheet Alabama row 17. Coordinate source: nominatim (Selma to Montgomery National Historic Trail, White Hall, Lowndes County, Alabama, United States).",,32.2705394,-86.7280802,Alabama,,NPS,,,,,2026-05-24,"Junior Ranger - One booklet earns you a patch from each: Lowndes, Montgomery, Selma, and Marion Interpritive Centers | Trading Cards: | Brown Chapel, African Methodist Episcopal Church | Civil Rights Marchers, Selma to Montogmery March | Edmund Pettus Bridge, ""Bloody Sunday"" | Frederick D. Reese, Selma City Teachers Association",
jr_alabama_tuskegee_airmen_nhs,Tuskegee Airmen NHS,Imported from Junior Ranger Master Spreadsheet Alabama row 23. Coordinate source: existing-catalog (Tuskegee Airmen National Historic Site).,,32.4571371,-85.6826526,Alabama,,NPS,,,,,2026-05-24,"Junior Ranger (answers) | Trading Cards: | Bess Bolden Walcott | Moton Field Hanger #1 | The Mutiny; Lt. Roger Terry, Court-Martialed | Tuskegee Airmen | Tuskegee Womenl Mildred Carter, Pilot and Secretary",
jr_alabama_tuskegee_institute_nhs,Tuskegee Institute NHS,Imported from Junior Ranger Master Spreadsheet Alabama row 30. Coordinate source: existing-catalog (Tuskegee Institute National Historic Site).,,32.4284949,-85.709394,Alabama,,NPS,,,,,2026-05-24,"Junior Ranger | Trading Cards: | Booker T. Washington, Principal and Political Advocate | George Washington Carver; Teaching Economic Independence | Moveable School, Education in the Field | The Oaks, What Education Can Achieve | Tuskegee Institute, Symbol of African American Achievement",
jr_alabama_southeast_region_national_fish_hatcheries,Southeast Region National Fish Hatcheries,"Imported from Junior Ranger Master Spreadsheet Alabama row 37. Coordinate source: manual-fws-southeast-hq (USFWS Southeast Region Headquarters, 1875 Century Boulevard, Atlanta, GA).",,33.8458450,-84.3124560,Alabama,,US Fish & Wildlife Service,,,,,2026-05-24,Biologist-in-Training,
jr_alabama_joe_wheeler_nwr,Joe Wheeler NWR,"Imported from Junior Ranger Master Spreadsheet Alabama row 38. Coordinate source: nominatim (Wheeler National Wildlife Refuge, Triana, Limestone County, Alabama, United States).",,34.6043146,-86.8687304,Alabama,,US Fish & Wildlife Service,,,,,2026-05-24,Junior Refuge Ranger | Junior Angler,
jr_alabama_conecuh_nf,Conecuh NF,"Imported from Junior Ranger Master Spreadsheet Alabama row 40. Coordinate source: nominatim (Conecuh National Forest, Covington County, Alabama, United States).",,31.0850453,-86.6601369,Alabama,,US Forest Service - National Forest,,,,,2026-05-24,Junior Forest Ranger,
jr_alabama_talledega_nf,Talledega NF,"Imported from Junior Ranger Master Spreadsheet Alabama row 41. Coordinate source: nominatim (Talladega National Forest, Bibb County, Alabama, United States).",,32.9349471,-87.3948069,Alabama,,US Forest Service - National Forest,,,,,2026-05-24,Junior Forest Ranger,
jr_alabama_alabama_state_capitol,Alabama State Capitol,"Imported from Junior Ranger Master Spreadsheet Alabama row 42. Coordinate source: nominatim (Alabama State Capitol, 600, Dexter Avenue, Montgomery, Montgomery County, Alabama, 36104, United States).",,32.3777741,-86.3002857,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | US Capitals Passport,
jr_alabama_belle_mont,Belle Mont,"Imported from Junior Ranger Master Spreadsheet Alabama row 44. Coordinate source: manual-web (Belle Mont Mansion, 1569 Cook Lane, Tuscumbia, AL).",,34.6624000,-87.6669960,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_cheaha_sp,Cheaha SP,Imported from Junior Ranger Master Spreadsheet Alabama row 45. Coordinate source: existing-catalog (Cheaha State Park $).,,33.4700829,-85.8133195,Alabama,,State,,,,,2026-05-24,Leave No Trace Explorer's Club | Junior Ranger Adventure Guide,
jr_alabama_chewacla_sp,Chewacla SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 47. Coordinate source: nominatim (Chewacla State Park, Oak Hollow, Auburn, Lee County, Alabama, United States).",,32.5514921,-85.4748463,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide | BARK Ranger certificate,
jr_alabama_cathedral_caverns_sp,Cathedral Caverns SP,"Imported from Junior Ranger Master Spreadsheet Alabama row 49. Coordinate source: nominatim (Cathedral Caverns State Park, Marshall County, Alabama, United States).",,34.5728997,-86.2271839,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide,
jr_alabama_confederate_memorial_park,Confederate Memorial Park,"Imported from Junior Ranger Master Spreadsheet Alabama row 50. Coordinate source: manual-web (Confederate Memorial Park, Marbury, AL).",,32.7209622,-86.4708099,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Boy Scout Camper Patch,
jr_alabama_desoto_sp,DeSoto SP,Imported from Junior Ranger Master Spreadsheet Alabama row 52. Coordinate source: existing-catalog (DeSoto State Park).,,34.4957262,-85.6272192,Alabama,,State,,,,,2026-05-24,Junior Ranger Adventure Guide | Legends on the Lookout,
jr_alabama_fendall_hall,Fendall Hall,"Imported from Junior Ranger Master Spreadsheet Alabama row 54. Coordinate source: nominatim (Fendall Hall, West Barbour Street, Eufaula, Barbour County, Alabama, 36027, United States).",,31.8915678,-85.1571520,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
jr_alabama_fort_morgan,Fort Morgan,"Imported from Junior Ranger Master Spreadsheet Alabama row 55. Coordinate source: nominatim (Fort Morgan, Baldwin County, Alabama, United States).",,30.2281878,-88.0229106,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Junior Explorer in development | US Lighthouse Society Passport,
jr_alabama_fort_toulouse_fort_jackson,Fort Toulouse - Fort Jackson,"Imported from Junior Ranger Master Spreadsheet Alabama row 58. Coordinate source: manual-nominatim (Fort Toulouse III Replica / Fort Toulouse-Jackson Park, Wetumpka, AL).",,32.5066030,-86.2515904,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort | Scout Patch,
jr_alabama_freedom_rides_museum,Freedom Rides Museum,"Imported from Junior Ranger Master Spreadsheet Alabama row 60. Coordinate source: nominatim (Greyhound Bus Station;Freedom Rides Museum, South Court Street, Montgomery, Montgomery County, Alabama, 36104, United States).",,32.3746294,-86.3091111,Alabama,,State,,,,,2026-05-24,Bicentennial PastPort,
