pinIds,sourceState,sourceAgency,sourceSiteName,imageTitle,imagePath,reason
jr_washington_d_c_national_mall_and_memorial_parks,,National Park Service,National Mall and Memorial Parks,4th of july wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Washington DC/054 - 4th of july wooden.jpeg - e2a2f81254.jpg,Image title did not match mapped site tokens
jr_washington_d_c_president_s_park,,National Park Service,President's Park (White House),Prez Park wooden,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Washington DC/018 - Prez Park wooden.jpeg - 527eeb2bfd.jpg,Image title did not match mapped site tokens
jr_alabama_horseshoe_bend_nmp,Alabama,National Park Service,Horseshoe Bend National Military Park,Dayton wings Fairchild,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Alabama/033 - Dayton wings Fairchild.jpeg - 8259188779.jpg,Image title did not match mapped site tokens
jr_alabama_horseshoe_bend_nmp,Alabama,National Park Service,Horseshoe Bend National Military Park,wings,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Alabama/034 - wings.jpeg - b25fcdfa02.jpg,Image title did not match mapped site tokens
jr_alabama_horseshoe_bend_nmp,Alabama,National Park Service,Horseshoe Bend National Military Park,Aero,/Users/carterswarm/Downloads/JR_Rewards_Badges/And/Alabama/035 - Aero.jpeg - eb87ca971c.jpg,Image title did not match mapped site tokens
jr_alaska_alaska_public_lands_information_center,Alaska,National Park Service,Alaska Public Lands Information Center,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/098 - National Trails - 9568d99477.jpg,Image title did not match mapped site tokens
jr_alaska_gates_of_the_arctic_np_and_pr_arctic_interagency_visitor_center,Alaska,National Park Service,Arctic Interagency Visitor Center,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/221 - National Trails - 12913e7f86.jpg,"Visitor-center sign/header image, not a badge"
jr_alaska_glacier_bay_np_and_pr,Alaska,National Park Service,Glacier Bay National Park and Preserve,National Trails,/Users/carterswarm/Downloads/JR_Rewards_Badges/Stickers/_Agency Header/149 - National Trails - 14491b6e1c.jpg,Image title did not match mapped site tokens
jr_alaska_katmai_np_and_pr,Alaska,National Park Service,Katmai National Park and Preserve,No so,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Alaska/079 - No so.jpeg - 08ec7c5557.jpg,Image title did not match mapped site tokens
jr_alaska_kenai_fjords_np,Alaska,National Park Service,Kenai Fjords National Park and Preserve,Inupiat Center,/Users/carterswarm/Downloads/JR_Rewards_Badges/National Park Service/Alaska/098 - Inupiat Center.jpeg - c56360a561.jpg,Image title did not match mapped site tokens
