pinId,pinState,pinName,pinAgency,sourceState,sourceAgency,sourceSiteName,matchedLabel,matchType,badgeCount
jr_alaska_campbell_creek_science_center,Alaska,Campbell Creek Science Center,BLM,,Bureau of Land Management,Campbell Creek Science Center,Campbell Creek Science Center,unique_name_exact,1
jr_alaska_iditarod_nht,Alaska,Iditarod NHT,BLM,,Bureau of Land Management,Iditarod NHT,Iditarod NHT,unique_name_exact,2
jr_arizona_gila_box_riparian_nca,Arizona,Gila Box Riparian NCA,BLM,Arizona,Bureau of Land Management,Gila Box Riparian National Conservation Area,Gila Box Riparian National Conservation Area,state_core_exact,1
jr_arizona_grand_canyon_parashant_nm,Arizona,Grand Canyon-Parashant NM,BLM,Arizona,Bureau of Land Management,Grand Canyon-Parashant National Monument,Grand Canyon-Parashant National Monument,state_core_exact,9
jr_arizona_ironwood_forest_nm,Arizona,Ironwood Forest NM,BLM,Arizona,Bureau of Land Management,Ironwood Forest National Monument,Ironwood Forest National Monument,state_core_exact,1
jr_arizona_las_cienegas_nca,Arizona,Las Cienegas NCA,BLM,Arizona,Bureau of Land Management,Las Cienegas National Conservation Area,Las Cienegas National Conservation Area,state_core_exact,1
jr_arizona_san_pedro_riparian_nca,Arizona,San Pedro Riparian NCA,BLM,Arizona,Bureau of Land Management,San Pedro Riparian National Conservation Area,San Pedro Riparian National Conservation Area,state_core_exact,1
jr_arizona_sonoran_desert_nm_phoenix_district_office,Arizona,Sonoran Desert NM (Phoenix District Office),BLM,Arizona,Bureau of Land Management,Sonoran Desert National Monument,Sonoran Desert National Monument,state_core_exact,1
jr_arizona_vermilion_cliffs_nm,Arizona,Vermilion Cliffs NM,BLM,Arizona,Bureau of Land Management,Vermilion Cliffs National Monument,Vermilion Cliffs National Monument,state_core_exact,1
jr_colorado_canyons_of_the_ancients_nm,Colorado,Canyons of the Ancients NM,BLM,Colorado,Bureau of Land Management,Canyons of the Ancients National Monument,Canyons of the Ancients National Monument,state_core_exact,3
jr_colorado_dominguez_escalante_nca,Colorado,Dominguez-Escalante NCA,BLM,Colorado,Bureau of Land Management,Dominguez-Escalante National Conservation Area,Dominguez-Escalante National Conservation Area,state_core_exact,1
jr_colorado_gunnison_gorge_nca,Colorado,Gunnison Gorge NCA,BLM,Colorado,Bureau of Land Management,Gunnison Gorge National Conservation Area,Gunnison Gorge National Conservation Area,state_core_exact,1
jr_colorado_mcinnis_canyons_nca,Colorado,McInnis Canyons NCA,BLM,Colorado,Bureau of Land Management,McInnis Canyons National Conservation Area,McInnis Canyons National Conservation Area,state_core_exact,2
jr_arizona_agua_fria_nm,Arizona,Agua Fria NM,BLM,Idaho,Bureau of Land Management,Agua Fria National Monument,Agua Fria National Monument,unique_core_exact,2
jr_arizona_aravaipa_canyon_wilderness,Arizona,Aravaipa Canyon Wilderness,BLM,Idaho,Bureau of Land Management,Aravaipa Canyon Wilderness,Aravaipa Canyon Wilderness,unique_name_exact,1
jr_idaho_morley_nelson_snake_river_birds_of_prey_nca,Idaho,Morley Nelson Snake River Birds of Prey NCA,BLM,Idaho,Bureau of Land Management,Morley Nelson Snake River Birds of Prey National Conservation Area,Morley Nelson Snake River Birds of Prey National Conservation Area,state_core_exact,2
jr_idaho_upper_snake_field_office,Idaho,Upper Snake Field Office,BLM,Idaho,Bureau of Land Management,Upper Snake,Upper Snake,state_core_fuzzy,1
jr_montana_pompeys_pillar_nm,Montana,Pompeys Pillar NM,BLM,Montana,Bureau of Land Management,Pompeys Pillar National Monument,Pompeys Pillar National Monument,state_core_exact,3
jr_montana_upper_missouri_river_breaks_nm,Montana,Upper Missouri River Breaks NM,BLM,Montana,Bureau of Land Management,Upper Missouri River Breaks National Monument,Upper Missouri River Breaks National Monument,state_core_exact,1
jr_nevada_california_trail_interpretive_center,Nevada,California Trail Interpretive Center,BLM,Nevada,Bureau of Land Management,California Trail Interpretive Center,California Trail Interpretive Center,state_name_exact,2
jr_nevada_red_rock_canyon_nca,Nevada,Red Rock Canyon NCA,BLM,Nevada,Bureau of Land Management,Red Rock Canyon National Conservation Area,Red Rock Canyon National Conservation Area,state_core_exact,2
jr_nevada_sloan_canyon_nca,Nevada,Sloan Canyon NCA,BLM,Nevada,Bureau of Land Management,Sloan Canyon National Conservation Area,Sloan Canyon National Conservation Area,state_core_exact,7
jr_new_mexico_dripping_springs_na_and,New Mexico,Dripping Springs NA and,BLM,New Mexico,Bureau of Land Management,Dripping Springs Natural Area,Dripping Springs Natural Area,state_core_fuzzy,1
jr_new_mexico_el_malpais_nca,New Mexico,El Malpais NCA,BLM,New Mexico,Bureau of Land Management,El Malpais National Conservation Area,El Malpais National Conservation Area,state_core_fuzzy,2
jr_new_mexico_kasha_katuwe_tent_rocks_nm,New Mexico,Kasha-Katuwe Tent Rocks NM,BLM,New Mexico,Bureau of Land Management,Kasha-Katuwe Tent Rocks National Monument,Kasha-Katuwe Tent Rocks National Monument,state_core_exact,4
jr_new_mexico_organ_mountains_desert_peaks_nm,New Mexico,Organ Mountains-Desert Peaks NM,BLM,New Mexico,Bureau of Land Management,Organ Mountains / Desert Peaks National Monument,Organ Mountains / Desert Peaks National Monument,state_core_exact,1
jr_oregon_cascade_siskiyou_nm,Oregon,Cascade-Siskiyou NM,BLM,Oregon,Bureau of Land Management,Cascade-Siskiyou National Monument,Cascade-Siskiyou National Monument,state_core_exact,2
jr_oregon_oregon_trail_interpretive_center,Oregon,Oregon Trail Interpretive Center,BLM,Oregon,Bureau of Land Management,National Historic Oregon Trail Interpretive Center,National Historic Oregon Trail Interpretive Center,state_core_fuzzy,2
jr_oregon_new_river_nature_center,Oregon,New River Nature Center,BLM,Oregon,Bureau of Land Management,New River Nature Center,New River Nature Center,state_name_exact,1
jr_oregon_wildwood_recreation_center,Oregon,Wildwood Recreation Center,BLM,Oregon,Bureau of Land Management,Wildwood Recreation Site,Wildwood Recreation Site,state_core_fuzzy,4
jr_oregon_yaquina_head_ona,Oregon,Yaquina Head ONA,BLM,Oregon,Bureau of Land Management,Yaquina Head Outstanding Natural Area,Yaquina Head Outstanding Natural Area,state_core_exact,10
jr_utah_grand_staircase_escalante,Utah,Grand Staircase - Escalante,BLM,Utah,Bureau of Land Management,Grand Staircase-Escalante National Monument,Grand Staircase-Escalante National Monument,state_core_exact,5
jr_utah_transcontinental_railroad_backcountry_byway,Utah,Transcontinental Railroad Backcountry Byway,BLM,Utah,Bureau of Land Management,Transcontinental Railroad,Transcontinental Railroad,state_core_fuzzy,3
jr_california_carrizo_plain_nm,California,Carrizo Plain NM,BLM,Washington,Bureau of Land Management,Carrizo Plain National Monument,Carrizo Plain National Monument,unique_core_exact,1
jr_california_fort_ord_nm,California,Fort Ord NM,BLM,Washington,Bureau of Land Management,Fort Ord National Monument,Fort Ord National Monument,unique_core_exact,1
jr_california_king_range_nca,California,King Range NCA,BLM,Washington,Bureau of Land Management,King Range National Conservation Area,King Range National Conservation Area,unique_core_exact,1
jr_wyoming_national_historic_trails_interpretive_center,Wyoming,National Historic Trails Interpretive Center,BLM,Wyoming,Bureau of Land Management,National Historic Trails Interpretive Center,National Historic Trails Interpretive Center,state_name_exact,1
jr_northern_mariana_islands_american_memorial_park,Northern Mariana Islands,American Memorial Park,NPS,,National Park Service,American Memorial Park,American Memorial Park,unique_name_exact,4
jr_virgin_islands_buck_island_reef_nm,Virgin Islands,Buck Island Reef NM,NPS,,National Park Service,Buck Island Reef National Monument,Buck Island Reef National Monument,unique_core_exact,1
jr_virgin_islands_christiansted_nhs,Virgin Islands,Christiansted NHS,NPS,,National Park Service,Christiansted National Historic Site,Christiansted National Historic Site,unique_core_exact,2
jr__national_capital_parks_east,Maryland,National Capital Parks East,NPS,,National Park Service,National Capital Parks-East,National Capital Parks-East,unique_name_exact,2
jr_washington_d_c_national_mall_and_memorial_parks,"Washington, DC",National Mall & Memorial Parks,NPS,,National Park Service,National Mall and Memorial Parks,National Mall and Memorial Parks,unique_name_exact,6
jr_washington_d_c_national_mall_and_memorial_parks,"Washington, DC",National Mall & Memorial Parks,NPS,,National Park Service,National Mall and Memorial Parks; Cherry Blossom Festival,National Mall and Memorial Parks,unique_name_exact,4
jr_washington_d_c_president_s_park,"Washington, DC",President's Park,NPS,,National Park Service,President's Park (White House),President's Park (White House),unique_name_exact,4
jr_washington_d_c_rock_creek_park,"Washington, DC",Rock Creek Park,NPS,,National Park Service,Rock Creek Park National Park,Rock Creek Park National Park,unique_core_exact,8
