side,state,name,sourceSheet,sourceRowNumber,siteID,targetRowNumber,reason
Spreadsheet 1 not spreadsheet 2,Alabama,Alabama SP,Alabama,64,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Alabama State Capitol,Alabama,42,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Belle Mont,Alabama,44,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Cathedral Caverns SP,Alabama,49,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Chewacla SP,Alabama,47,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Conecuh NF,Alabama,40,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Confederate Memorial Park,Alabama,50,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Fendall Hall,Alabama,54,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Fort Morgan,Alabama,55,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Fort Toulouse - Fort Jackson,Alabama,58,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Frank Jackson SP,Alabama,67,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Freedom Rides Museum,Alabama,60,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Gaineswood,Alabama,61,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Historic Blakeley SP,Alabama,62,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Joe Wheeler NWR,Alabama,38,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Lake Guntersville State Park,Alabama,65,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Lakepoint SP,Alabama,63,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Magnolia Grove,Alabama,68,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Monte Sano SP,Alabama,70,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Natchez Trace NST,Alabama,86,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Natchez Trace Parkway,Alabama,77,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Oak Mountain SP,Alabama,69,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Old Cahawba Archaeological Park,Alabama,72,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Pond Spring,Alabama,74,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Selma to Montgomery NHT,Alabama,17,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Southeast Region National Fish Hatcheries,Alabama,37,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Talledega NF,Alabama,41,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Trail of Tears NHT,Alabama,91,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,University of Alabama,Alabama,76,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alabama,Wind Creek SP,Alabama,71,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Alagnak Wild River,Alaska,3,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Alaska State Parks,Alaska,89,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Aleutian Islands WW2 NHA,Alaska,12,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Aniakchak NM & Pr,Alaska,13,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Chilkoot NHT,Alaska,20,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Eagle River Nature Center,Alaska,27,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Iditarod NHT,Alaska,73,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Izembek NWR,Alaska,63,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Kachemak Bay SP,Alaska,90,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Kenai Fjords NP,Alaska,41,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,National Historic Landmarks of Alaska,Alaska,2,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Noatak NP,Alaska,49,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Tetlin NWR,Alaska,69,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Western Arctic National Parklands,Alaska,54,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Alaska,Yukon-Charley Rivers NPr,Alaska,59,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Agua Fria NM,Arizona,85,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Apache-SitGreaves NF,Arizona,97,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Arizona NPS Joint programs,Arizona,2,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Arizona Trail NST,Arizona,98,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Baaj Nwaavjo I’tah Kukveni–Ancestral Footprints of the Grand Canyon NM,Arizona,87,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Butterfield Overland Trail,Arizona,152,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Cabeza Pieta NWR,Arizona,84,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Chiricahua NM,Arizona,29,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,City of Peoria - Parks and Recreation,Arizona,135,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,City of Prescott,Arizona,136,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,City of Scottsdale,Arizona,143,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Coronado NF,Arizona,99,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Coronado NM,Arizona,32,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Estrella Mountain Regional Park,Arizona,142,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Fool Hollow Lake RA,Arizona,107,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Fort Bowie NHS,Arizona,34,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Fort Verde SHP,Arizona,109,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Gila Box Riparian NCA,Arizona,88,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Gila District,Arizona,89,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Ironwood Forest NM,Arizona,92,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Jerome SHP,Arizona,111,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Juan Bautista de Anza NHT,Arizona,155,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Las Cienegas NCA,Arizona,93,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Maricopa County Parks and Recreation,Arizona,139,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,McFarland SHP,Arizona,119,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Montezuma Castle NM,Arizona,50,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Old Spanish NHT,Arizona,177,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Organ Pipe Cactus NM,Arizona,55,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Petrified Forest NP,Arizona,58,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,"Red Rock Ranger District, Coconino NF",Arizona,100,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Riordan Mansion SHP,Arizona,124,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Rockin' River Ranch SP,Arizona,125,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,San Francisco River of Eastern Arizona,Arizona,144,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,San Pedro Riparian NCA,Arizona,94,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Sonoran Desert NM (Phoenix District Office),Arizona,95,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Titan Missile Museum NHL,Arizona,145,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Tombstone Courthouse SHP,Arizona,128,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Tonto NF,Arizona,101,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Tori Tortoise Turns 100,Arizona,91,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Tubac Presidio SHP,Arizona,130,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Tumacacori NHP,Arizona,74,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Yuma Quartermaster Depot SHP,Arizona,133,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arizona,Yuma Territorial Prison SHP,Arizona,134,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Arkansas Post NM,Arkansas,2,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Arkansas's State Parks,Arkansas,41,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Buffalo NR,Arkansas,5,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Butterfield Overland Trail,Arkansas,54,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Daisy SP,Arkansas,42,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Fort Smith Lake State Park,Arkansas,45,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Hobbs SP - Conservation Area,Arkansas,43,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Hot Springs NP,Arkansas,15,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Lake Frierson State Park,Arkansas,46,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,MacArthur Museum of Arkansas Military History,Arkansas,48,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,McClellan-Kerr Arkansas RNS,Arkansas,52,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Ozark-St. Francis NF,Arkansas,40,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Prairie Grove Battlefield SP,Arkansas,44,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Southeast Region National Fish Hatcheries,Arkansas,39,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,Trail of Tears NHT,Arkansas,57,,,no-confident-match
Spreadsheet 1 not spreadsheet 2,Arkansas,United States Marshals Museum,Arkansas,51,,,no-confident-match
