state,agency,siteName,imageCount,resolvedImageCount,candidateName,reason
,Bureau of Land Management,Arctic Interagency Visitor Center,1,1,Arctic Interagency Visitor Center,No confident pin match
Arizona,Bureau of Land Management,Arizona National Scenic Trail,3,3,,No confident pin match
Arizona,Bureau of Land Management,Desert Fishes,1,1,Desert Fishes,No confident pin match
Colorado,Bureau of Land Management,Gold Belt Byway,2,2,Gold Belt Byway,No confident pin match
Idaho,Bureau of Land Management,Idaho jr,1,1,,No confident pin match
Idaho,Bureau of Land Management,Upper Snake,1,1,Upper Snake,No confident pin match
Nevada,Bureau of Land Management,Lovelock Cave Historic Site,1,1,Lovelock Cave Historic Site,No confident pin match
New Mexico,Bureau of Land Management,Prehistoric Trackways National Monument,1,1,Prehistoric Trackways National Monument,No confident pin match
North Dakota,Bureau of Land Management,Schnell Ranch Recreation Area,1,1,Schnell Ranch Recreation Area,No confident pin match
Oregon,Bureau of Land Management,Button Pins,1,1,Button Pins,No confident pin match
Oregon,Bureau of Land Management,Provolt Recreation Site,1,1,Provolt Recreation Site,No confident pin match
Oregon,Bureau of Land Management,Table Rocks Management Area,1,1,Table Rocks Management Area,No confident pin match
Utah,Bureau of Land Management,Cleveland-Lloyd Dinosaur Quarry (CLDQ) at Jurassic National Monument,1,1,Cleveland-Lloyd Dinosaur Quarry (CLDQ) at Jurassic National Monument,No confident pin match
Utah,Bureau of Land Management,Transcontinental Railroad,3,3,Transcontinental Railroad,No confident pin match
Washington,Bureau of Land Management,BLM SWAG,11,11,BLM SWAG,No confident pin match
Washington,Bureau of Land Management,El Centro Field Office,1,1,El Centro Field Office,No confident pin match
Washington,Bureau of Land Management,Santa Rosa and San Jacinto Mtns National Monument,2,2,Santa Rosa and San Jacinto Mtns National Monument,No confident pin match
Wyoming,Bureau of Land Management,Buffalo Field Office,2,2,Buffalo Field Office,No confident pin match
Wyoming,Bureau of Land Management,Miscellaneous,15,12,,No confident pin match
,National Park Service,Anacostia Park,3,3,Anacostia Park,No confident pin match
,National Park Service,Belmont-Paul Women's Equality National Monument,2,2,Belmont-Paul Women's Equality National Monument,No confident pin match
,National Park Service,Carter G. Woodson Home National Historic Site,3,3,Carter G. Woodson Home National Historic Site,No confident pin match
